date,person,contribution
13.10.2022,Cedric,created tutorial Doc and structure
13.10.2022,Kimmy,added Object description and code
15.10.2022,Cedric,wrote initial version of SLA Printer
16.10.2022,Kimmy,added detailed Code chunks
18.10.2022,Kimmy,finalized last Code chunks
20.10.2022,Kimmy,"pushed the tutorial on GitHub (README.md), formated it, added pictures"
22.10.2022,Cedric,"added missing pic, cleaned comments, completed SLA section"
23.10.2022,Kimmy,more README.md layout and pictures
24.10.2022,Cedric,finalized the SLA section
